Location,male_median_salary,female_median_salary,STATE,gender_pay_gap
Flemington Racecourse,30292,14168,VIC,53.228575201373296
Kensington (Vic.),45221,35055,VIC,22.480705866743328
North Melbourne,22830,18000,VIC,21.156373193166885
South Yarra - West,37000,25025,VIC,32.36486486486487
Southbank,26117,16829,VIC,35.56304322854846
Elwood,44051,29845,VIC,32.24898413202879
Port Melbourne,62307,41130,VIC,33.98815542394916
St Kilda East,28482,24756,VIC,13.081946492521594
Armadale,47929,31300,VIC,34.69506979073213
Prahran - Windsor,41175,30308,VIC,26.392228293867635
Toorak,45158,26613,VIC,41.0669205899287
Carlton North - Princes Hill,33137,26551,VIC,19.875064127712225
Collingwood,40257,29128,VIC,27.644881635491963
Fitzroy North,41275,30247,VIC,26.7183525136281
Richmond (Vic.),48991,35354,VIC,27.835724929068604
Ashburton (Vic.),52242,33940,VIC,35.033115118104206
Hawthorn East,42688,29949,VIC,29.84211019490255
Bulleen,45449,28403,VIC,37.505775704635965
Templestowe,44214,27554,VIC,37.68037273261863
Templestowe Lower,45746,28796,VIC,37.05241988370568
Doncaster East (North),44312,26937,VIC,39.210597580790754
Blackburn,43141,27015,VIC,37.37975475765513
Blackburn South,42993,26488,VIC,38.389970460307495
Box Hill,24889,19437,VIC,21.905259351520755
Box Hill North,37938,26712,VIC,29.590384311244662
Burwood,19623,16275,VIC,17.061611374407583
Surrey Hills (East) - Mont Albert,46909,30260,VIC,35.49212304675009
Beaumaris,54999,27004,VIC,50.900925471372204
Brighton East,50046,29357,VIC,41.33996723014826
Cheltenham - Highett (West),55547,34344,VIC,38.171278376870035
Bentleigh - McKinnon,47610,30248,VIC,36.467128754463346
Caulfield - North,31214,22203,VIC,28.868456461844044
Murrumbeena,42500,29957,VIC,29.512941176470587
Ormond - Glen Huntly,36823,27616,VIC,25.0033946174945
Aspendale Gardens - Waterways,47757,29658,VIC,37.89810917771217
Braeside,51009,19527,VIC,61.718520261130394
Cheltenham - Highett (East),49673,31440,VIC,36.706057616813965
Mentone,49972,33059,VIC,33.84495317377731
Moorabbin - Heatherton,49419,31849,VIC,35.553127339687165
Mordialloc - Parkdale,54808,33556,VIC,38.77536126112976
Malvern - Glen Iris,46146,31044,VIC,32.726563515797686
Malvern East,40000,26224,VIC,34.44
Greensborough,53685,32633,VIC,39.213933128434384
Heidelberg - Rosanna,52465,33990,VIC,35.21395215858191
Ivanhoe,47499,33014,VIC,30.495378850081057
Ivanhoe East - Eaglemont,51475,30940,VIC,39.893152015541524
Viewbank - Yallambie,55774,32630,VIC,41.49603758023452
Reservoir - East,32386,25813,VIC,20.295806830111776
Preston - West,40000,28419,VIC,28.952499999999997
Eltham,55168,30634,VIC,44.47143271461717
Hurstbridge,49655,25516,VIC,48.61343268553016
Plenty - Yarrambat,55213,27660,VIC,49.903102530201224
Wattle Glen - Diamond Creek,54353,28311,VIC,47.91271870917889
Bundoora - West,32378,24559,VIC,24.149113595651368
Mill Park - North,43696,28519,VIC,34.73315635298426
Mill Park - South,41019,29487,VIC,28.113800921524174
Doreen,55332,29676,VIC,46.36738234656257
Epping - East,41597,27621,VIC,33.59857682044378
Epping - South,35043,25056,VIC,28.49927232257512
Epping - West,42306,28822,VIC,31.872547629177895
South Morang (South),42785,29441,VIC,31.18850064274863
Airport West,50127,33787,VIC,32.59720310411554
Keilor,47689,29866,VIC,37.37339847763636
Keilor East,47983,32600,VIC,32.059270991809605
Gisborne,59280,29339,VIC,50.50775978407558
Riddells Creek,57899,28745,VIC,50.35320126427054
Romsey,52162,26873,VIC,48.481653310839306
Coburg North,40000,31597,VIC,21.0075
Fawkner,27520,24790,VIC,9.920058139534884
Hadfield,39536,30336,VIC,23.269931201942534
Sunbury,50180,31438,VIC,37.349541650059784
Gladstone Park - Westmeadows,43754,29497,VIC,32.584449421767154
Greenvale - Bulla,48441,29730,VIC,38.626370223570945
Meadow Heights,28277,21834,VIC,22.78530254270255
Tullamarine,42199,32086,VIC,23.96502286784047
Craigieburn - Central,38591,27791,VIC,27.985799797880333
Craigieburn - West,38275,26094,VIC,31.824951012410192
Mickleham - Yuroke,41764,28152,VIC,32.59266353797529
Lysterfield,52941,29381,VIC,44.50237056345743
Wantirna,45585,28433,VIC,37.62641219699462
Wantirna South,41569,26839,VIC,35.43505978012461
Boronia,45303,29989,VIC,33.80350087190694
Ferntree Gully (North),48085,28379,VIC,40.98159509202454
The Basin,50840,28919,VIC,43.117623918174665
Warrandyte - Wonga Park,46562,26031,VIC,44.093896310295946
Bayswater North,48144,29378,VIC,38.97889664340312
Ringwood,42834,27402,VIC,36.02745482560582
Ringwood North,53169,28306,VIC,46.762211062837366
Croydon - East,46512,29873,VIC,35.77356381148951
Croydon South,52912,30846,VIC,41.70320532204415
Mitcham (Vic.),49274,30093,VIC,38.927223282055444
Nunawading,42389,27728,VIC,34.586803180070305
Vermont South,39878,24449,VIC,38.69050604343247
Chirnside Park,50878,27362,VIC,46.22037029757459
Mount Dandenong - Olinda,46591,27664,VIC,40.62372561224271
Mount Evelyn,47306,25426,VIC,46.25206104933835
Upwey - Tecoma,52499,27593,VIC,47.44090363625974
Wandin - Seville,48079,22804,VIC,52.569728987707734
Beaconsfield - Officer,49530,28265,VIC,42.93357561074097
Bunyip - Garfield,44651,27436,VIC,38.55456764686121
Emerald - Cockatoo,47394,26167,VIC,44.7883698358442
Pakenham - North,44858,26992,VIC,39.82790137768068
Pakenham - South,40493,24776,VIC,38.81411602005285
Berwick - South,47220,28304,VIC,40.05929690808979
Hallam,33575,24121,VIC,28.157855547282207
Narre Warren North,45424,28786,VIC,36.62821415991546
Endeavour Hills - North,41552,29972,VIC,27.868694647670388
Endeavour Hills - South,39608,28763,VIC,27.380832155120178
Narre Warren - South West,38442,25856,VIC,32.74023203787524
Cranbourne East,43157,27015,VIC,37.40297054938944
Cranbourne West,41029,27118,VIC,33.90528650466743
Lynbrook - Lyndhurst,44738,29801,VIC,33.38772408243552
